date,home_team,score,away_team
14-08-2021,Augsburg,0 - 4,Hoffenheim
21-08-2021,Ein Frankfurt,0 - 0,Augsburg
28-08-2021,Augsburg,1 - 4,Leverkusen
11-09-2021,Union Berlin,0 - 0,Augsburg
18-09-2021,Augsburg,1 - 0,M''gladbach
26-09-2021,Freiburg,3 - 0,Augsburg
02-10-2021,Dortmund,2 - 1,Augsburg
17-10-2021,Augsburg,1 - 1,Bielefeld
22-10-2021,Mainz,4 - 1,Augsburg
31-10-2021,Augsburg,4 - 1,Stuttgart
06-11-2021,Wolfsburg,? - ?,Augsburg
13-08-2021,M''gladbach,1 - 1,Bayern Munich
22-08-2021,Bayern Munich,3 - 2,FC Koln
28-08-2021,Bayern Munich,5 - 0,Hertha
11-09-2021,RB Leipzig,1 - 4,Bayern Munich
18-09-2021,Bayern Munich,7 - 0,Bochum
24-09-2021,Greuther Furth,1 - 3,Bayern Munich
03-10-2021,Bayern Munich,1 - 2,Ein Frankfurt
17-10-2021,Leverkusen,1 - 5,Bayern Munich
23-10-2021,Bayern Munich,4 - 0,Hoffenheim
30-10-2021,Union Berlin,2 - 5,Bayern Munich
06-11-2021,Bayern Munich,? - ?,Freiburg
14-08-2021,Bielefeld,0 - 0,Freiburg
21-08-2021,Greuther Furth,1 - 1,Bielefeld
28-08-2021,Bielefeld,1 - 1,Ein Frankfurt
12-09-2021,M''gladbach,3 - 1,Bielefeld
18-09-2021,Bielefeld,0 - 0,Hoffenheim
25-09-2021,Union Berlin,1 - 0,Bielefeld
03-10-2021,Bielefeld,0 - 4,Leverkusen
17-10-2021,Augsburg,1 - 1,Bielefeld
23-10-2021,Bielefeld,1 - 3,Dortmund
30-10-2021,Bielefeld,1 - 2,Mainz
06-11-2021,Stuttgart,? - ?,Bielefeld
14-08-2021,Wolfsburg,1 - 0,Bochum
21-08-2021,Bochum,2 - 0,Mainz
28-08-2021,FC Koln,2 - 1,Bochum
12-09-2021,Bochum,1 - 3,Hertha
18-09-2021,Bayern Munich,7 - 0,Bochum
26-09-2021,Bochum,0 - 0,Stuttgart
02-10-2021,RB Leipzig,3 - 0,Bochum
16-10-2021,Greuther Furth,0 - 1,Bochum
24-10-2021,Bochum,2 - 0,Ein Frankfurt
31-10-2021,M''gladbach,2 - 1,Bochum
06-11-2021,Bochum,? - ?,Hoffenheim
14-08-2021,Dortmund,5 - 2,Ein Frankfurt
21-08-2021,Freiburg,2 - 1,Dortmund
27-08-2021,Dortmund,3 - 2,Hoffenheim
11-09-2021,Leverkusen,3 - 4,Dortmund
19-09-2021,Dortmund,4 - 2,Union Berlin
25-09-2021,M''gladbach,1 - 0,Dortmund
02-10-2021,Dortmund,2 - 1,Augsburg
16-10-2021,Dortmund,3 - 1,Mainz
23-10-2021,Bielefeld,1 - 3,Dortmund
30-10-2021,Dortmund,2 - 0,FC Koln
06-11-2021,RB Leipzig,? - ?,Dortmund
14-08-2021,Dortmund,5 - 2,Ein Frankfurt
21-08-2021,Ein Frankfurt,0 - 0,Augsburg
28-08-2021,Bielefeld,1 - 1,Ein Frankfurt
12-09-2021,Ein Frankfurt,1 - 1,Stuttgart
19-09-2021,Wolfsburg,1 - 1,Ein Frankfurt
25-09-2021,Ein Frankfurt,1 - 1,FC Koln
03-10-2021,Bayern Munich,1 - 2,Ein Frankfurt
16-10-2021,Ein Frankfurt,1 - 2,Hertha
24-10-2021,Bochum,2 - 0,Ein Frankfurt
30-10-2021,Ein Frankfurt,1 - 1,RB Leipzig
07-11-2021,Greuther Furth,? - ?,Ein Frankfurt
15-08-2021,FC Koln,3 - 1,Hertha
22-08-2021,Bayern Munich,3 - 2,FC Koln
28-08-2021,FC Koln,2 - 1,Bochum
11-09-2021,Freiburg,1 - 1,FC Koln
18-09-2021,FC Koln,1 - 1,RB Leipzig
25-09-2021,Ein Frankfurt,1 - 1,FC Koln
01-10-2021,FC Koln,3 - 1,Greuther Furth
15-10-2021,Hoffenheim,5 - 0,FC Koln
24-10-2021,FC Koln,2 - 2,Leverkusen
30-10-2021,Dortmund,2 - 0,FC Koln
07-11-2021,FC Koln,? - ?,Union Berlin
14-08-2021,Bielefeld,0 - 0,Freiburg
21-08-2021,Freiburg,2 - 1,Dortmund
28-08-2021,Stuttgart,2 - 3,Freiburg
